-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2022 through 12/31/2024 in UTC
Location: Latitude  -12.2264   Longitude -38.9876 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 229.2 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
-END HEADER-
YEAR,MO,DY,HR,T2M,ALLSKY_SFC_SW_DWN,RH2M
2022,1,1,0,22.99,0.0,86.62
2022,1,1,1,22.42,0.0,90.17
2022,1,1,2,21.92,0.0,93.44
2022,1,1,3,21.52,0.0,96.07
2022,1,1,4,21.25,0.0,97.46
2022,1,1,5,20.98,0.0,98.65
2022,1,1,6,20.77,0.0,99.31
2022,1,1,7,20.61,0.0,99.77
2022,1,1,8,21.06,23.08,97.16
2022,1,1,9,23.46,156.1,83.09
2022,1,1,10,25.8,347.65,69.65
2022,1,1,11,27.72,497.85,60.76
2022,1,1,12,29.44,602.55,54.5
2022,1,1,13,30.79,654.83,50.45
2022,1,1,14,31.69,710.88,48.06
2022,1,1,15,32.25,633.28,46.68
2022,1,1,16,32.34,542.97,46.37
2022,1,1,17,31.87,459.0,47.36
2022,1,1,18,30.77,305.27,50.31
2022,1,1,19,29.25,148.65,56.11
2022,1,1,20,27.22,33.88,66.0
2022,1,1,21,25.51,0.0,72.15
2022,1,1,22,24.45,0.0,76.4
2022,1,1,23,23.46,0.0,81.24
2022,1,2,0,22.76,0.0,85.01
2022,1,2,1,22.3,0.0,87.75
2022,1,2,2,21.96,0.0,89.88
2022,1,2,3,21.68,0.0,91.73
2022,1,2,4,21.47,0.0,93.13
2022,1,2,5,21.26,0.0,94.5
2022,1,2,6,21.02,0.0,95.9
2022,1,2,7,20.72,0.0,97.3
2022,1,2,8,21.01,21.48,96.22
2022,1,2,9,22.55,186.2,89.59
2022,1,2,10,24.6,372.9,77.5
2022,1,2,11,26.67,531.85,65.89
2022,1,2,12,28.37,644.25,58.2
2022,1,2,13,29.66,677.53,52.87
2022,1,2,14,30.58,735.03,49.26
2022,1,2,15,31.16,790.47,47.03
2022,1,2,16,31.52,624.55,45.6
2022,1,2,17,31.44,541.33,45.29
2022,1,2,18,30.86,385.95,46.38
2022,1,2,19,29.72,202.2,50.75
2022,1,2,20,27.44,46.8,62.98
2022,1,2,21,25.43,0.0,70.53
2022,1,2,22,24.5,0.0,74.57
2022,1,2,23,23.56,0.0,80.24
2022,1,3,0,22.72,0.0,85.92
2022,1,3,1,22.07,0.0,90.36
2022,1,3,2,21.45,0.0,94.27
2022,1,3,3,20.97,0.0,96.96
2022,1,3,4,20.7,0.0,98.16
2022,1,3,5,20.64,0.0,98.14
2022,1,3,6,20.51,0.0,98.64
2022,1,3,7,20.28,0.0,99.61
2022,1,3,8,20.76,22.77,96.9
2022,1,3,9,23.02,175.23,83.93
2022,1,3,10,25.17,378.85,70.44
2022,1,3,11,27.23,571.7,59.82
2022,1,3,12,29.03,755.22,52.21
2022,1,3,13,30.41,910.83,46.9
2022,1,3,14,31.35,858.95,43.18
2022,1,3,15,31.87,823.83,40.82
2022,1,3,16,32.06,754.22,39.86
2022,1,3,17,31.86,579.17,40.11
2022,1,3,18,31.25,361.75,41.58
2022,1,3,19,29.88,197.55,46.57
2022,1,3,20,27.32,48.12,59.81
2022,1,3,21,25.26,0.0,68.71
2022,1,3,22,24.17,0.0,74.21
2022,1,3,23,23.05,0.0,81.1
2022,1,4,0,22.2,0.0,86.63
2022,1,4,1,21.65,0.0,89.92
2022,1,4,2,21.11,0.0,93.07
2022,1,4,3,20.64,0.0,95.41
2022,1,4,4,20.4,0.0,96.22
2022,1,4,5,20.28,0.0,96.53
2022,1,4,6,20.1,0.0,97.02
2022,1,4,7,19.89,0.0,97.94
2022,1,4,8,20.23,24.55,96.95
2022,1,4,9,22.02,210.88,90.56
2022,1,4,10,24.36,407.0,79.66
2022,1,4,11,26.81,534.75,67.17
2022,1,4,12,28.79,690.9,58.66
2022,1,4,13,30.34,878.05,52.43
2022,1,4,14,31.34,752.17,48.97
2022,1,4,15,31.71,765.55,47.44
2022,1,4,16,31.29,653.6,48.07
2022,1,4,17,30.66,516.83,49.72
2022,1,4,18,29.98,343.05,52.12
2022,1,4,19,28.96,181.27,56.62
2022,1,4,20,27.06,43.97,66.73
2022,1,4,21,25.28,0.0,75.54
2022,1,4,22,24.49,0.0,79.7
2022,1,4,23,23.81,0.0,84.02
2022,1,5,0,23.3,0.0,87.32
2022,1,5,1,22.8,0.0,90.43
2022,1,5,2,22.36,0.0,92.83
2022,1,5,3,21.91,0.0,94.82
2022,1,5,4,21.48,0.0,96.4
2022,1,5,5,21.13,0.0,97.49
2022,1,5,6,20.91,0.0,97.81
2022,1,5,7,20.83,0.0,97.64
